Region,Crime,Year,Quarter,Number,Population,Rate,Covid
Belconnen,Assault,2014,Q1,63,97058,0.6490964165756558,Pre
Belconnen,Assault,2014,Q2,59,97058,0.6078839456819634,Pre
Belconnen,Assault,2014,Q3,55,97058,0.5666714747882708,Pre
Belconnen,Assault,2014,Q4,37,97058,0.3812153557666549,Pre
Belconnen,Assault,2015,Q1,68,96906,0.7017109363713289,Pre
Belconnen,Assault,2015,Q2,38,96906,0.3921325820898602,Pre
Belconnen,Assault,2015,Q3,43,96906,0.443728974470105,Pre
Belconnen,Assault,2015,Q4,56,96906,0.5778795946587414,Pre
Belconnen,Assault,2016,Q1,52,97106,0.5354972916194675,Pre
Belconnen,Assault,2016,Q2,57,97106,0.586987415813647,Pre
Belconnen,Assault,2016,Q3,64,97106,0.6590735896854983,Pre
Belconnen,Assault,2016,Q4,70,97106,0.7208617387185138,Pre
Belconnen,Assault,2017,Q1,78,98630,0.7908344317144885,Pre
Belconnen,Assault,2017,Q2,61,98630,0.6184730812126128,Pre
Belconnen,Assault,2017,Q3,78,98630,0.7908344317144885,Pre
Belconnen,Assault,2017,Q4,81,98630,0.8212511406265842,Pre
Belconnen,Assault,2018,Q1,73,99762,0.7317415448768068,Pre
Belconnen,Assault,2018,Q2,70,99762,0.7016699745394038,Pre
Belconnen,Assault,2018,Q3,84,99762,0.8420039694472845,Pre
Belconnen,Assault,2018,Q4,103,99762,1.032457248250837,Pre
Belconnen,Assault,2019,Q1,88,100966,0.8715805320602976,Pre
Belconnen,Assault,2019,Q2,62,100966,0.6140681021333915,Pre
Belconnen,Assault,2019,Q3,88,100966,0.8715805320602976,Pre
Belconnen,Assault,2019,Q4,63,100966,0.6239724263613494,Pre
Belconnen,Assault,2020,Q1,79,101562,0.777849983261456,Pre
Belconnen,Assault,2020,Q2,98,101562,0.964927827336996,During
Belconnen,Assault,2020,Q3,76,101562,0.7483113763021603,During
Belconnen,Assault,2020,Q4,90,101562,0.886158208778874,During
Belconnen,Assault,2021,Q1,84,102131,0.8224730982757439,During
Belconnen,Assault,2021,Q2,96,102131,0.9399692551722788,During
Belconnen,Assault,2021,Q3,63,102131,0.6168548237068079,During
Belconnen,Assault,2021,Q4,81,102131,0.7930990590516102,Post
Belconnen,Assault,2022,Q1,76,102929,0.7383730532697296,Post
Belconnen,Assault,2022,Q2,74,102929,0.718942183446842,Post
Belconnen,Assault,2022,Q3,122,102929,1.185283059196145,Post
Belconnen,Assault,2022,Q4,100,102929,0.9715434911443812,Post
Belconnen,Assault,2023,Q1,95,104235,0.9114021202091428,Post
Belconnen,Assault,2023,Q2,87,104235,0.8346524679810045,Post
Belconnen,Assault,2023,Q3,95,104235,0.9114021202091428,Post
Belconnen,Assault,2023,Q4,87,104235,0.8346524679810045,Post
Belconnen,Assault,2024,Q1,87,104459,0.8328626542471208,Post
Belconnen,Assault,2024,Q2,87,104459,0.8328626542471208,Post
Belconnen,Assault,2024,Q3,105,104459,1.0051790654706632,Post
Belconnen,Assault,2024,Q4,88,104459,0.8424357882039843,Post
Belconnen,Assault,2025,Q1,79,104929,0.7528900494620172,Post
Belconnen,Assault,2025,Q2,82,104929,0.7814808108339925,Post
Belconnen,Burglary - Dwellings,2014,Q1,94,97058,0.968493066001772,Pre
Belconnen,Burglary - Dwellings,2014,Q2,76,97058,0.7830369469801561,Pre
Belconnen,Burglary - Dwellings,2014,Q3,106,97058,1.0921304786828494,Pre
Belconnen,Burglary - Dwellings,2014,Q4,131,97058,1.349708421768427,Pre
Belconnen,Burglary - Dwellings,2015,Q1,84,96906,0.8668193919881121,Pre
Belconnen,Burglary - Dwellings,2015,Q2,88,96906,0.908096505892308,Pre
Belconnen,Burglary - Dwellings,2015,Q3,82,96906,0.8461808350360143,Pre
Belconnen,Burglary - Dwellings,2015,Q4,95,96906,0.9803314552246506,Pre
Belconnen,Burglary - Dwellings,2016,Q1,57,97106,0.586987415813647,Pre
Belconnen,Burglary - Dwellings,2016,Q2,69,97106,0.7105637138796779,Pre
Belconnen,Burglary - Dwellings,2016,Q3,71,97106,0.7311597635573498,Pre
Belconnen,Burglary - Dwellings,2016,Q4,59,97106,0.6075834654913188,Pre
Belconnen,Burglary - Dwellings,2017,Q1,129,98630,1.3079184832201156,Pre
Belconnen,Burglary - Dwellings,2017,Q2,102,98630,1.0341681030112542,Pre
Belconnen,Burglary - Dwellings,2017,Q3,97,98630,0.9834735881577614,Pre
Belconnen,Burglary - Dwellings,2017,Q4,114,98630,1.1558349386596372,Pre
Belconnen,Burglary - Dwellings,2018,Q1,95,99762,0.9522663940177624,Pre
Belconnen,Burglary - Dwellings,2018,Q2,89,99762,0.8921232533429563,Pre
Belconnen,Burglary - Dwellings,2018,Q3,111,99762,1.1126481024839117,Pre
Belconnen,Burglary - Dwellings,2018,Q4,98,99762,0.9823379643551652,Pre
Belconnen,Burglary - Dwellings,2019,Q1,128,100966,1.2677535011786147,Pre
Belconnen,Burglary - Dwellings,2019,Q2,105,100966,1.0399540439355823,Pre
Belconnen,Burglary - Dwellings,2019,Q3,75,100966,0.7428243170968445,Pre
Belconnen,Burglary - Dwellings,2019,Q4,77,100966,0.7626329655527604,Pre
Belconnen,Burglary - Dwellings,2020,Q1,61,101562,0.6006183415056813,Pre
Belconnen,Burglary - Dwellings,2020,Q2,54,101562,0.5316949252673244,During
Belconnen,Burglary - Dwellings,2020,Q3,76,101562,0.7483113763021603,During
Belconnen,Burglary - Dwellings,2020,Q4,66,101562,0.6498493531045076,During
Belconnen,Burglary - Dwellings,2021,Q1,81,102131,0.7930990590516102,During
Belconnen,Burglary - Dwellings,2021,Q2,65,102131,0.636437516522897,During
Belconnen,Burglary - Dwellings,2021,Q3,52,102131,0.5091500132183177,During
Belconnen,Burglary - Dwellings,2021,Q4,62,102131,0.6070634772987633,Post
Belconnen,Burglary - Dwellings,2022,Q1,65,102929,0.6315032692438477,Post
Belconnen,Burglary - Dwellings,2022,Q2,59,102929,0.5732106597751848,Post
Belconnen,Burglary - Dwellings,2022,Q3,57,102929,0.5537797899522972,Post
Belconnen,Burglary - Dwellings,2022,Q4,63,102929,0.61207239942096,Post
Belconnen,Burglary - Dwellings,2023,Q1,53,104235,0.5084664460114166,Post
Belconnen,Burglary - Dwellings,2023,Q2,62,104235,0.5948098047680721,Post
Belconnen,Burglary - Dwellings,2023,Q3,77,104235,0.7387154026958316,Post
Belconnen,Burglary - Dwellings,2023,Q4,49,104235,0.4700916198973473,Post
Belconnen,Burglary - Dwellings,2024,Q1,58,104459,0.5552417694980806,Post
Belconnen,Burglary - Dwellings,2024,Q2,37,104459,0.354205956403948,Post
Belconnen,Burglary - Dwellings,2024,Q3,36,104459,0.3446328224470845,Post
Belconnen,Burglary - Dwellings,2024,Q4,40,104459,0.3829253582745383,Post
Belconnen,Burglary - Dwellings,2025,Q1,46,104929,0.4383916743702885,Post
Belconnen,Burglary - Dwellings,2025,Q2,49,104929,0.4669824357422638,Post
Belconnen,Burglary - Other,2014,Q1,16,97058,0.1648498835747697,Pre
Belconnen,Burglary - Other,2014,Q2,14,97058,0.1442436481279235,Pre
Belconnen,Burglary - Other,2014,Q3,10,97058,0.103031177234231,Pre
Belconnen,Burglary - Other,2014,Q4,37,97058,0.3812153557666549,Pre
Belconnen,Burglary - Other,2015,Q1,11,96906,0.1135120632365385,Pre
